sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,executable_prob_yes,spread_cost_frac,volume,volume_24h,open_interest,yes_bid_size,yes_ask_size,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP20MINCHI,KXNFLGAME-26SEP20MINCHI-MIN,,,,2026-09-20T20:00:00Z,Minnesota,0.4,0.41,0.405,0.41,0.012345679012345512,8849.03,1342.87,7622.58,9.46,3382.46,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20NOBAL,KXNFLGAME-26SEP20NOBAL-BAL,,,,2026-09-20T20:00:00Z,Baltimore,0.77,0.78,0.775,0.78,0.006451612903225712,4994.58,1761.41,4577.88,736.25,7766.48,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20NOBAL,KXNFLGAME-26SEP20NOBAL-NO,,,,2026-09-20T20:00:00Z,New Orleans,0.21,0.23,0.22,0.23,0.045454545454545414,7275.12,939.93,6871.5,2413.0,500.0,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20PHITEN,KXNFLGAME-26SEP20PHITEN-PHI,,,,2026-09-20T20:00:00Z,Philadelphia,0.69,0.7,0.695,0.7,0.007194244604316502,9238.36,1003.96,7741.12,113.94,3800.23,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20PHITEN,KXNFLGAME-26SEP20PHITEN-TEN,,,,2026-09-20T20:00:00Z,Tennessee,0.3,0.32,0.31,0.32,0.032258064516129004,1045.17,353.58,950.91,843.38,2419.0,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20PITNE,KXNFLGAME-26SEP20PITNE-NE,,,,2026-09-20T20:00:00Z,New England,0.63,0.66,0.645,0.66,0.023255813953488413,4740.37,3420.92,3429.03,79.86,4.88,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20PITNE,KXNFLGAME-26SEP20PITNE-PIT,,,,2026-09-20T20:00:00Z,Pittsburgh,0.35,0.37,0.36,0.37,0.0277777777777779,17539.0,4326.57,15274.61,2.63,19.02,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20SEAARI,KXNFLGAME-26SEP20SEAARI-ARI,,,,2026-09-20T23:25:00Z,Arizona,0.25,0.26,0.255,0.26,0.019607843137254832,4496.06,2070.06,3782.78,10.91,28.13,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20SEAARI,KXNFLGAME-26SEP20SEAARI-SEA,,,,2026-09-20T23:25:00Z,Seattle,0.74,0.76,0.75,0.76,0.01333333333333342,4487.0,2339.8,3482.09,26.54,294.66,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20WASDAL,KXNFLGAME-26SEP20WASDAL-DAL,,,,2026-09-20T23:25:00Z,Dallas,0.66,0.68,0.67,0.68,0.014925373134328401,8380.17,3939.87,7911.89,60.01,24.44,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20WASDAL,KXNFLGAME-26SEP20WASDAL-WAS,,,,2026-09-20T23:25:00Z,Washington,0.31,0.35,0.32999999999999996,0.35,0.060606060606060774,1824.34,342.44,1377.83,1475.0,754.0,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP21NYGLAR,KXNFLGAME-26SEP21NYGLAR-LAR,,,,2026-09-22T03:15:00Z,Los Angeles R,0.81,0.83,0.8200000000000001,0.83,0.012195121951219301,19420.59,379.72,18959.65,1201.77,4187.47,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP21NYGLAR,KXNFLGAME-26SEP21NYGLAR-NYG,,,,2026-09-22T03:15:00Z,New York G,0.17,0.19,0.18,0.19,0.05555555555555558,6512.63,1216.65,5742.63,790.34,1423.88,active,kalshi,2026-09-10T16:49:01.464974+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-AVL,,,,2026-09-12T17:00:00Z,Aston Villa,0.42,0.43,0.425,0.43,0.0117647058823529,8737.92,3858.43,7212.44,3910.0,21206.04,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-NFO,,,,2026-09-12T17:00:00Z,Nottingham Forest,0.29,0.3,0.295,0.3,0.016949152542372836,4175.61,1526.76,3904.89,5829.7,1483.0,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-TIE,,,,2026-09-12T17:00:00Z,Tie,0.27,0.28,0.275,0.28,0.0181818181818183,1587.48,308.5,1335.9,21347.78,10773.59,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-BOU,,,,2026-09-12T17:00:00Z,Bournemouth,0.38,0.39,0.385,0.39,0.012987012987013102,9774.19,1393.68,4292.29,11171.96,5656.55,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-BRE,,,,2026-09-12T17:00:00Z,Brentford,0.34,0.35,0.345,0.35,0.01449275362318847,6122.6,1064.95,5222.25,10963.67,1323.0,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-TIE,,,,2026-09-12T17:00:00Z,Tie,0.26,0.27,0.265,0.27,0.018867924528301883,8271.46,943.4,5997.62,1439.33,24005.38,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-CFC,,,,2026-09-12T17:00:00Z,Chelsea,0.79,0.8,0.795,0.8,0.0062893081761006275,31962.79,6966.03,26003.94,43.77,55936.0,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-HUL,,,,2026-09-12T17:00:00Z,Hull City,0.07,0.08,0.07500000000000001,0.08,0.06666666666666643,100451.42,13272.31,87955.37,1416.21,31455.52,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-TIE,,,,2026-09-12T17:00:00Z,Tie,0.14,0.15,0.14500000000000002,0.15,0.0344827586206895,17887.11,7372.13,17228.6,5695.11,29290.47,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12CRYIPS,KXEPLGAME-26SEP12CRYIPS-CRY,,,,2026-09-12T17:00:00Z,Crystal Palace,0.51,0.52,0.515,0.52,0.009708737864077666,4318.38,545.07,3664.57,8982.29,9299.79,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12CRYIPS,KXEPLGAME-26SEP12CRYIPS-IPS,,,,2026-09-12T17:00:00Z,Ipswich Town,0.23,0.24,0.235,0.24,0.02127659574468077,3691.52,293.32,3519.07,5884.71,821.0,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12CRYIPS,KXEPLGAME-26SEP12CRYIPS-TIE,,,,2026-09-12T17:00:00Z,Tie,0.25,0.26,0.255,0.26,0.019607843137254832,1094.77,175.68,1091.52,1380.75,25089.73,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12LFCFUL,KXEPLGAME-26SEP12LFCFUL-FUL,,,,2026-09-12T17:00:00Z,Fulham,0.13,0.14,0.135,0.14,0.03703703703703698,14328.51,8758.78,13075.24,1716.07,44495.73,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12LFCFUL,KXEPLGAME-26SEP12LFCFUL-LFC,,,,2026-09-12T17:00:00Z,Liverpool,0.68,0.69,0.685,0.69,0.007299270072992581,87290.51,40743.64,69765.82,778.73,24396.5,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12LFCFUL,KXEPLGAME-26SEP12LFCFUL-TIE,,,,2026-09-12T17:00:00Z,Tie,0.19,0.2,0.195,0.2,0.025641025641025772,10050.11,567.36,9884.61,1523.0,30610.71,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12SUNARS,KXEPLGAME-26SEP12SUNARS-ARS,,,,2026-09-12T22:00:00Z,Arsenal,0.66,0.67,0.665,0.67,0.007518796992481258,119824.29,41190.76,112869.59,2119.47,7009.54,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12SUNARS,KXEPLGAME-26SEP12SUNARS-SUN,,,,2026-09-12T22:00:00Z,Sunderland,0.12,0.13,0.125,0.13,0.040000000000000036,9323.43,2052.64,8327.95,195.41,13184.4,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12SUNARS,KXEPLGAME-26SEP12SUNARS-TIE,,,,2026-09-12T22:00:00Z,Tie,0.21,0.22,0.215,0.22,0.023255813953488413,786.2,214.25,775.79,1366.22,35998.68,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12TOTEVE,KXEPLGAME-26SEP12TOTEVE-EVE,,,,2026-09-12T19:30:00Z,Everton,0.26,0.27,0.265,0.27,0.018867924528301883,20939.69,4607.32,17000.13,20919.2,13.46,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12TOTEVE,KXEPLGAME-26SEP12TOTEVE-TIE,,,,2026-09-12T19:30:00Z,Tie,0.26,0.27,0.265,0.27,0.018867924528301883,5488.3,788.38,2442.01,747.39,33419.12,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP12TOTEVE,KXEPLGAME-26SEP12TOTEVE-TOT,,,,2026-09-12T19:30:00Z,Tottenham,0.46,0.47,0.46499999999999997,0.47,0.010752688172043001,5737.2,1088.01,4636.33,13077.52,3974.62,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-BRI,,,,2026-09-13T16:00:00Z,Brighton,0.51,0.52,0.515,0.52,0.009708737864077666,3711.71,985.1,3335.89,3841.3,5232.41,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-COV,,,,2026-09-13T16:00:00Z,Coventry,0.23,0.24,0.235,0.24,0.02127659574468077,2335.24,77.31,2162.28,6244.3,14699.81,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-TIE,,,,2026-09-13T16:00:00Z,Tie,0.25,0.26,0.255,0.26,0.019607843137254832,268.09,60.54,243.34,494.25,20274.99,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-MCI,,,,2026-09-13T18:30:00Z,Manchester City,0.45,0.46,0.455,0.46,0.01098901098901095,78318.64,31240.27,68765.3,6300.99,2099.0,active,kalshi,2026-09-10T16:49:01.948514+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-MUN,,,,2026-09-13T18:30:00Z,Manchester United,0.29,0.3,0.295,0.3,0.016949152542372836,22560.35,6541.21,21620.18,13015.77,79.65,active,kalshi,2026-09-10T16:49:01.948514+00:00
