sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-LAC,,LAC,ARI,2026-09-14T02:25:00Z,home,0.8,0.81,0.805,0.01,83285.26,287048.5,147323.33,20912.84,84500.19,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-ATL,,PIT,ATL,2026-09-13T20:00:00Z,away,0.37,0.38,0.375,0.01,3314.02,310348.96,54784.53,9781.31,42927.08,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-PIT,,PIT,ATL,2026-09-13T20:00:00Z,home,0.62,0.63,0.625,0.01,117739.33,65510.11,120715.08,34459.71,108350.93,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-BAL,,IND,BAL,2026-09-13T20:00:00Z,away,0.6,0.61,0.605,0.01,86891.82,94085.08,101461.92,19415.47,82890.76,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-IND,,IND,BAL,2026-09-13T20:00:00Z,home,0.38,0.39,0.385,0.01,142997.7,7523.4,43436.61,6156.7,36975.75,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-BUF,,HOU,BUF,2026-09-13T20:00:00Z,away,0.51,0.52,0.515,0.01,86314.55,378435.75,211880.9,37548.71,161017.21,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-HOU,,HOU,BUF,2026-09-13T20:00:00Z,home,0.47,0.48,0.475,0.01,123642.96,13241.39,119582.94,31949.91,106800.95,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CHI,,CAR,CHI,2026-09-13T20:00:00Z,away,0.59,0.6,0.595,0.01,95324.06,140041.0,179676.13,26975.49,148855.0,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CAR,,CAR,CHI,2026-09-13T20:00:00Z,home,0.39,0.4,0.395,0.01,67640.16,41668.26,46319.42,8554.48,34626.46,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-CLE,,JAX,CLE,2026-09-13T20:00:00Z,away,0.21,0.22,0.215,0.01,13796.48,225838.19,90698.96,22415.25,74428.19,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-JAC,,JAX,CLE,2026-09-13T20:00:00Z,home,0.78,0.79,0.785,0.01,94936.43,11584.82,90260.63,19727.01,69921.4,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-DAL,,NYG,DAL,2026-09-14T06:20:00Z,away,0.6,0.61,0.605,0.01,63832.25,47118.28,370956.8,69663.42,297978.15,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-NYG,,NYG,DAL,2026-09-14T06:20:00Z,home,0.4,0.41,0.405,0.01,2031.77,371786.69,141185.64,34766.46,105637.49,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-GB,,MIN,GB,2026-09-13T23:25:00Z,away,0.46,0.47,0.4649999999999999,0.01,2654.77,299554.53,254839.41,51402.54,214065.01,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-MIN,,MIN,GB,2026-09-13T23:25:00Z,home,0.53,0.54,0.535,0.01,59576.67,47187.26,107898.14,22917.21,93784.68,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-MIA,,LV,MIA,2026-09-13T23:25:00Z,away,0.39,0.4,0.395,0.01,35604.62,59698.01,83126.7,32671.37,73415.48,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-LV,,LV,MIA,2026-09-13T23:25:00Z,home,0.59,0.6,0.595,0.01,95388.56,122873.28,68671.83,11396.17,53830.97,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-NO,,DET,NO,2026-09-13T20:00:00Z,away,0.25,0.26,0.255,0.01,207288.16,19076.64,108079.65,17852.2,87915.34,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-DET,,DET,NO,2026-09-13T20:00:00Z,home,0.74,0.75,0.745,0.01,10918.65,232708.38,198254.13,26564.49,116069.34,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-NYJ,,TEN,NYJ,2026-09-13T23:00:00Z,away,0.47,0.48,0.475,0.01,135389.75,41022.07,94505.02,12978.63,79775.77,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-TEN,,TEN,NYJ,2026-09-13T23:00:00Z,home,0.51,0.52,0.515,0.01,114710.17,195837.15,55725.62,16409.89,43552.4,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-TB,,CIN,TB,2026-09-13T20:00:00Z,away,0.35,0.36,0.355,0.01,28578.61,34239.41,77166.66,14712.89,68809.81,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-CIN,,CIN,TB,2026-09-13T20:00:00Z,home,0.64,0.65,0.645,0.01,7121.2,154834.31,29752.59,6170.73,24217.74,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-WAS,,PHI,WAS,2026-09-13T23:25:00Z,away,0.31,0.32,0.315,0.01,70196.43,138286.91,78408.43,7331.41,73582.01,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-PHI,,PHI,WAS,2026-09-13T23:25:00Z,home,0.67,0.68,0.675,0.01,80207.33,373529.09,86433.96,26848.94,78081.94,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-DEN,,KC,DEN,2026-09-15T03:15:00Z,away,0.43,0.44,0.435,0.01,16331.39,110770.24,266507.57,52618.8,236042.73,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-KC,,KC,DEN,2026-09-15T03:15:00Z,home,0.56,0.57,0.565,0.01,22500.66,28906.51,53618.69,8861.18,43685.07,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-DET,,BUF,DET,2026-09-18T03:15:00Z,away,0.39,0.4,0.395,0.01,247.89,1107.74,11010.5,2099.86,8460.17,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-BUF,,BUF,DET,2026-09-18T03:15:00Z,home,0.6,0.61,0.605,0.01,198.74,4378.77,13102.85,1414.06,11431.96,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-CAR,,ATL,CAR,2026-09-20T20:00:00Z,away,0.46,0.48,0.47,0.02,2301.0,1898.0,8801.89,294.99,6188.09,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-ATL,,ATL,CAR,2026-09-20T20:00:00Z,home,0.52,0.53,0.525,0.01,500.0,1968.0,1144.52,65.67,1045.59,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20CINHOU,KXNFLGAME-26SEP20CINHOU-CIN,,HOU,CIN,2026-09-20T20:00:00Z,away,0.43,0.44,0.435,0.01,981.0,7749.89,6306.49,670.31,5084.03,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20CINHOU,KXNFLGAME-26SEP20CINHOU-HOU,,HOU,CIN,2026-09-20T20:00:00Z,home,0.55,0.56,0.555,0.01,2077.0,2223.0,1956.57,150.51,1498.02,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20CLETB,KXNFLGAME-26SEP20CLETB-CLE,,TB,CLE,2026-09-20T20:00:00Z,away,0.26,0.27,0.265,0.01,4109.76,1356.0,2517.13,311.41,1638.33,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20CLETB,KXNFLGAME-26SEP20CLETB-TB,,TB,CLE,2026-09-20T20:00:00Z,home,0.72,0.73,0.725,0.01,1120.0,6754.04,2388.5,692.32,2313.49,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20GBNYJ,KXNFLGAME-26SEP20GBNYJ-GB,,NYJ,GB,2026-09-20T20:00:00Z,away,0.68,0.69,0.685,0.01,12.23,2008.09,2815.98,227.68,2664.68,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20GBNYJ,KXNFLGAME-26SEP20GBNYJ-NYJ,,NYJ,GB,2026-09-20T20:00:00Z,home,0.3,0.32,0.31,0.02,4842.05,1323.0,1855.2,342.59,1333.65,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-IND,,KC,IND,2026-09-21T03:20:00Z,away,0.27,0.28,0.275,0.01,137.0,7552.0,7339.45,431.85,4348.91,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-KC,,KC,IND,2026-09-21T03:20:00Z,home,0.71,0.73,0.72,0.02,3421.5,3639.92,1257.23,174.66,925.67,active,kalshi,2026-09-10T15:00:41.309263+00:00
