bet_id,placed_at,sport,league,game_id,matchup,market,selection,model_prob,model_version,market_odds_decimal,book,edge_pct,stake,kelly_fraction,status,closing_odds_decimal,clv_pct,result_logged_at,notes,mode,market_ticker,market_fair_prob,commence_time
9bc7b2ee,2026-09-10T15:00:16.279938+00:00,nfl,NFL,KXNFLGAME-26SEP13NODET,NO @ DET,moneyline,away,0.2947847314219165,nfl-elo-v1,3.846153846153846,kalshi,13.378742854583267,1.0,0.0117515984533501,void,,,2026-09-10T17:59:05.344204+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13NODET-NO,0.255,2026-09-13T20:00:00Z
03d4a648,2026-09-10T15:00:16.286185+00:00,nfl,NFL,KXNFLGAME-26SEP13NYJTEN,NYJ @ TEN,moneyline,home,0.5614931274166296,nfl-elo-v1,1.923076923076923,kalshi,7.979447580121057,1.0,0.0216110038628278,void,,,2026-09-10T17:59:05.348391+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13NYJTEN-TEN,0.5202020202020202,2026-09-13T23:00:00Z
09f13395,2026-09-10T15:00:16.292456+00:00,nfl,NFL,KXNFLGAME-26SEP13TBCIN,TB @ CIN,moneyline,away,0.4515780742235245,nfl-elo-v1,2.7777777777777777,kalshi,25.43835395097902,1.0,0.0357726852435642,void,,,2026-09-10T17:59:05.352282+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13TBCIN-TB,0.355,2026-09-13T20:00:00Z
dda40ecd,2026-09-10T15:00:16.299105+00:00,nfl,NFL,KXNFLGAME-26SEP13CLEJAC,CLE @ JAX,moneyline,away,0.3304521929759232,nfl-elo-v1,4.545454545454546,kalshi,50.205542261783286,1.0,0.0354013439025394,void,,,2026-09-10T17:59:05.356215+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13CLEJAC-CLE,0.215,2026-09-13T20:00:00Z
4a1c247b,2026-09-10T15:00:16.305485+00:00,nfl,NFL,KXNFLGAME-26SEP13BALIND,BAL @ IND,moneyline,home,0.528230541794108,nfl-elo-v1,2.564102564102564,kalshi,35.44372866515588,1.0,0.0566518613910278,void,,,2026-09-10T17:59:05.360277+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13BALIND-IND,0.3888888888888889,2026-09-13T20:00:00Z
f940fbf5,2026-09-10T15:00:16.311943+00:00,nfl,NFL,KXNFLGAME-26SEP13CHICAR,CHI @ CAR,moneyline,home,0.5106869754293588,nfl-elo-v1,2.5,kalshi,27.671743857339703,1.0,0.0461195730955661,void,,,2026-09-10T17:59:05.364397+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13CHICAR-CAR,0.398989898989899,2026-09-13T20:00:00Z
31399c30,2026-09-10T15:00:16.318792+00:00,nfl,NFL,KXNFLGAME-26SEP10SFLAR,SF @ LA,moneyline,away,0.4004434492733438,nfl-elo-v1,2.7777777777777777,kalshi,11.234291464817735,1.0,0.0157982223723999,void,,,2026-09-10T17:59:05.368263+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP10SFLAR-SF,0.355,2026-09-11T06:35:00Z
15498ea1,2026-09-10T15:00:27.298832+00:00,soccer,EPL,KXEPLGAME-26SEP14LEENEW,Newcastle @ Leeds,moneyline,away,0.3841443177482876,epl-elo-logit-v1,2.941176470588235,kalshi,12.983622867143406,1.0,0.0167213324804119,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP14LEENEW-NEW,0.335,2026-09-14T22:00:00Z
34d5d240,2026-09-10T15:00:27.308466+00:00,soccer,EPL,KXEPLGAME-26SEP13MUNMCI,Man City @ Man United,moneyline,draw,0.2576246859132008,epl-elo-logit-v1,4.0,kalshi,3.049874365280348,1.0,0.0025415619710669,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP13MUNMCI-TIE,0.245,2026-09-13T18:30:00Z
96bf9567,2026-09-10T15:00:27.317175+00:00,soccer,EPL,KXEPLGAME-26SEP13MUNMCI,Man City @ Man United,moneyline,away,0.4878991763386557,epl-elo-logit-v1,2.127659574468085,kalshi,3.808335391203333,1.0,0.008443007706913,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP13MUNMCI-MCI,0.4599999999999999,2026-09-13T18:30:00Z
e38cda07,2026-09-10T15:00:27.325353+00:00,soccer,EPL,KXEPLGAME-26SEP12SUNARS,Arsenal @ Sunderland,moneyline,home,0.1381915487313382,epl-elo-logit-v1,7.692307692307692,kalshi,6.30119133179865,1.0,0.0023538933136029,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12SUNARS-SUN,0.1243781094527363,2026-09-12T22:00:00Z
0d6806b2,2026-09-10T15:00:27.333461+00:00,soccer,EPL,KXEPLGAME-26SEP12TOTEVE,Everton @ Tottenham,moneyline,away,0.4234886425705471,epl-elo-logit-v1,3.7037037037037033,kalshi,56.84764539649891,1.0,0.0525646036200503,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12TOTEVE-EVE,0.2663316582914573,2026-09-12T19:30:00Z
82a5c914,2026-09-10T15:00:27.341900+00:00,soccer,EPL,KXEPLGAME-26SEP12LFCFUL,Fulham @ Liverpool,moneyline,draw,0.2182297441908773,epl-elo-logit-v1,5.0,kalshi,9.114872095438686,1.0,0.0056967950596491,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12LFCFUL-TIE,0.1921182266009852,2026-09-12T17:00:00Z
4b7a0098,2026-09-10T15:00:27.349223+00:00,soccer,EPL,KXEPLGAME-26SEP12LFCFUL,Fulham @ Liverpool,moneyline,away,0.1671072287123854,epl-elo-logit-v1,7.142857142857142,kalshi,19.362306223132443,1.0,0.0078800083466236,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12LFCFUL-FUL,0.1330049261083744,2026-09-12T17:00:00Z
